x	y	z	Event	Energy	Time
2.3868405954e+04 2.8964591949e+04 -2.1704487496e+05 1 2.3644594453e+03 1.2444054520e-01
2.3868405954e+04 2.8964591949e+04 -2.1704487496e+05 1 1.0033327574e+03 1.2444054520e-01
1.4133316926e+04 2.2367436164e+04 -2.1669807049e+05 1 1.0235602476e+03 1.0382158756e-01
-1.8307166308e-01 2.0968874992e-01 -2.4757838060e+05 1 1.2924257492e+03 5.8033531224e-02
-1.3365947450e-01 2.1156987641e-01 -2.5219184697e+05 1 1.2827422038e+03 5.6277022896e-02
1.9899567384e-02 6.3819715684e-02 -2.6970877346e+05 1 1.3152086086e+03 4.9607715816e-02
8.1792841239e-02 -2.9396446953e-03 -2.8032120948e+05 1 2.1072181478e+03 4.5567190463e-02
4.8467207890e+03 1.7351738062e+04 -2.7860903112e+05 1 7.6719679634e+03 6.8285473510e-02
1.0943946022e+04 3.0092650589e+04 -2.7877602409e+05 1 1.7329807332e+03 9.1618682508e-02
1.0943946022e+04 3.0092650589e+04 -2.7877602409e+05 1 1.3437452211e+03 9.1618682508e-02
4.8467207890e+03 1.7351738062e+04 -2.7860903112e+05 1 1.1391995410e+03 6.8285473510e-02
4.4780354181e+00 1.7983341563e-01 3.1869418154e+05 1 4.6339362138e+01 2.7363401387e-01
-8.0138219183e+02 6.3584646103e+01 3.1875095028e+05 1 1.6676174040e+02 2.7554756593e-01
-1.4303708277e+03 -9.5883507498e+01 3.1877856543e+05 1 2.5896778260e+02 2.7709990172e-01
-1.8226820817e+03 -6.2894589793e+02 3.1905033778e+05 1 1.6018436490e+02 2.7883062498e-01
-2.1781131268e+03 -9.3961988481e+02 3.1928453181e+05 1 3.8905259643e+02 2.8015146606e-01
-2.7209833206e+03 -1.4638620052e+03 3.1945332854e+05 1 1.9306974201e+02 2.8218725761e-01
-2.9953936820e+03 -2.0699275619e+03 3.1940999826e+05 1 1.6819165877e+01 2.8400899558e-01
-3.2462501885e+03 -2.6843672183e+03 3.1940845794e+05 1 2.4757311180e+02 2.8584759719e-01
-3.4300165202e+03 -2.9759441565e+03 3.1942021204e+05 1 8.4302700624e+01 2.8680061499e-01
-3.5545660773e+03 -3.2510850073e+03 3.1939241068e+05 1 1.4865798040e+02 2.8766916574e-01
-3.6238139960e+03 -3.5470276455e+03 3.1952837591e+05 1 6.0922792159e+01 2.8863088705e-01
-3.7782094277e+03 -3.7820050946e+03 3.1963464557e+05 1 1.3746104584e+01 2.8952006216e-01
-3.9578034385e+03 -3.9936292818e+03 3.1969228955e+05 1 1.0614892093e+02 2.9036760409e-01
-4.0360081174e+03 -4.2670443698e+03 3.1977704447e+05 1 3.8349872661e+00 2.9125527458e-01
-4.0839205680e+03 -4.5058928685e+03 3.1992887599e+05 1 5.3505030928e+02 2.9212846646e-01
4.4580062257e+00 1.7353506139e-01 3.1778533926e+05 1 2.1274513422e+03 2.7328798368e-01
4.1733515970e+00 4.9802566484e-02 3.0519810075e+05 1 1.7179120952e+03 2.6849555264e-01
3.8107325111e+00 -1.6585316601e-01 2.8875284341e+05 1 4.3021722619e+03 2.6223423092e-01
3.6828864904e+00 -2.2023136404e-01 2.8299831111e+05 1 2.5815596172e+03 2.6004326640e-01
3.6655216815e+00 -2.2555322963e-01 2.8223657435e+05 1 1.3215433900e+03 2.5975324488e-01
3.1993930970e+00 -8.3476689339e-01 2.2554339553e+05 1 2.3584785737e+03 2.3816805384e-01
2.8469517942e+00 -9.3878472893e-01 1.7333024781e+05 1 2.3675766294e+03 2.1828858665e-01
